,Women not suited for politics,Working mothers can bond with children,Preschoolersuffer if mother works,Better if men work and women stay home,Favor preferential hiring of women,Favor preferential hiring of women,Family life suffers if men work too much,Name,Variance
0,-0.30,0.53,-0.56,-0.54,0.00,0.02,-0.14,Traditional gender roles,
1,0.85,0.28,-0.26,0.16,0.01,-0.02,-0.32,Old boys club,
2,-0.22,-0.31,0.08,-0.03,-0.03,-0.12,-0.91,women can't have it all,
3,-0.35,0.51,0.02,0.73,0.16,0.19,-0.14,Confused,
4,0.11,0.48,0.77,-0.36,-0.03,0.15,-0.12,Donald Trump,
5,-0.06,0.23,0.08,0.13,-0.45,-0.84,0.07,Anti positive discrimination,
